COU,Country,VAR,Variable,CO2,Country of origin,YEA,Year,Value,Flag Codes,Flags
DEU,Germany,FTDS,Foreign-trained doctors - Stock,UZB,Uzbekistan,2018,2018,119,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,UZB,Uzbekistan,2018,2018,1,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,UZB,Uzbekistan,2018,2018,0,,
NOR,Norway,FTDS,Foreign-trained doctors - Stock,UZB,Uzbekistan,2018,2018,6,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,UZB,Uzbekistan,2018,2018,4,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,UZB,Uzbekistan,2018,2018,20,,
ISR,Israel,FTDS,Foreign-trained doctors - Stock,UZB,Uzbekistan,2018,2018,15,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,VEN,Venezuela,2018,2018,12,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,VEN,Venezuela,2018,2018,31,,
FRA,France,FTDS,Foreign-trained doctors - Stock,VEN,Venezuela,2018,2018,31,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,VEN,Venezuela,2018,2018,84,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,VEN,Venezuela,2018,2018,12,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,VEN,Venezuela,2018,2018,3,,
NOR,Norway,FTDS,Foreign-trained doctors - Stock,VEN,Venezuela,2018,2018,4,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,VEN,Venezuela,2018,2018,11,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,VEN,Venezuela,2018,2018,38,,
CHL,Chile,FTDS,Foreign-trained doctors - Stock,VEN,Venezuela,2018,2018,2480,,
ISR,Israel,FTDS,Foreign-trained doctors - Stock,VEN,Venezuela,2018,2018,22,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,VNM,Viet Nam,2018,2018,1,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,VNM,Viet Nam,2018,2018,141,,
FRA,France,FTDS,Foreign-trained doctors - Stock,VNM,Viet Nam,2018,2018,63,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,VNM,Viet Nam,2018,2018,58,,
HUN,Hungary,FTDS,Foreign-trained doctors - Stock,VNM,Viet Nam,2018,2018,1,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,VNM,Viet Nam,2018,2018,0,,
NOR,Norway,FTDS,Foreign-trained doctors - Stock,VNM,Viet Nam,2018,2018,4,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,VNM,Viet Nam,2018,2018,5,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,VNM,Viet Nam,2018,2018,2,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,YEM,Yemen,2018,2018,1,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,YEM,Yemen,2018,2018,12,,
CZE,Czech Republic,FTDS,Foreign-trained doctors - Stock,YEM,Yemen,2018,2018,1,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,YEM,Yemen,2018,2018,248,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,YEM,Yemen,2018,2018,19,,
NOR,Norway,FTDS,Foreign-trained doctors - Stock,YEM,Yemen,2018,2018,2,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,YEM,Yemen,2018,2018,53,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,ZMB,Zambia,2018,2018,19,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,ZMB,Zambia,2018,2018,0,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,ZMB,Zambia,2018,2018,1,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,ZMB,Zambia,2018,2018,9,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,ZMB,Zambia,2018,2018,47,,
AUS,Australia,FTDS,Foreign-trained doctors - Stock,ZWE,Zimbabwe,2018,2018,190,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,ZWE,Zimbabwe,2018,2018,45,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,ZWE,Zimbabwe,2018,2018,6,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,ZWE,Zimbabwe,2018,2018,7,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,ZWE,Zimbabwe,2018,2018,36,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,ZWE,Zimbabwe,2018,2018,1,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,ZWE,Zimbabwe,2018,2018,164,,
FRA,France,FTDS,Foreign-trained doctors - Stock,GEO,Georgia,2018,2018,13,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,AND,Andorra,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,BHS,Bahamas,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,BRB,Barbados,2018,2018,1,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,BTN,Bhutan,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,BWA,Botswana,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,BFA,Burkina Faso,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,KHM,Cambodia,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,CPV,Cape Verde,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,CAF,Central African Republic,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,TCD,Chad,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,COM,Comoros,2018,2018,0,,
ISR,Israel,FTDS,Foreign-trained doctors - Stock,HRV,Croatia,2018,2018,3,,
FRA,France,FTDS,Foreign-trained doctors - Stock,CYP,Cyprus,2018,2018,1,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,CYP,Cyprus,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,PRK,Democratic People's Republic of Korea,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,DJI,Djibouti,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,GNQ,Equatorial Guinea,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,ERI,Eritrea,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,GAB,Gabon,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,GMB,Gambia,2018,2018,2,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,GNB,Guinea-Bissau,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,JAM,Jamaica,2018,2018,25,,
HUN,Hungary,FTDS,Foreign-trained doctors - Stock,KAZ,Kazakhstan,2018,2018,1,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,KIR,Kiribati,2018,2018,0,,
ISR,Israel,FTDS,Foreign-trained doctors - Stock,KWT,Kuwait,2018,2018,1,,
FRA,France,FTDS,Foreign-trained doctors - Stock,KGZ,Kyrgyzstan,2018,2018,1,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,LAO,Laos,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,LSO,Lesotho,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,LUX,Luxembourg,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,MDG,Madagascar,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,MDV,Maldives,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,MHL,Marshall Islands,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,MRT,Mauritania,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,FSM,Micronesia,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,MCO,Monaco,2018,2018,0,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,MNG,Mongolia,2018,2018,1,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,MNE,Montenegro,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,NAM,Namibia,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,NRU,Nauru,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,NIU,Niue,2018,2018,0,,
ISR,Israel,FTDS,Foreign-trained doctors - Stock,PAK,Pakistan,2018,2018,3,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,PLW,Palau,2018,2018,0,,
ISR,Israel,FTDS,Foreign-trained doctors - Stock,PAN,Panama,2018,2018,1,,
ISR,Israel,FTDS,Foreign-trained doctors - Stock,PRY,Paraguay,2018,2018,5,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,QAT,Qatar,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,RWA,Rwanda,2018,2018,2,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,VCT,Saint Vincent and the Grenadines,2018,2018,0,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,WSM,Samoa,2018,2018,1,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,WSM,Samoa,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,SMR,San Marino,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,STP,Sao Tome and Principe,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,SYC,Seychelles,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,SLB,Solomon Islands,2018,2018,0,,
ISR,Israel,FTDS,Foreign-trained doctors - Stock,SDN,Sudan,2018,2018,8,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,SUR,Suriname,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,SJM,Svalbard and Jan Mayen Islands,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,SWZ,Swaziland,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,TLS,Timor-Leste,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,TGO,Togo,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,TON,Tonga,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,TTO,Trinidad and Tobago,2018,2018,1,,
ISR,Israel,FTDS,Foreign-trained doctors - Stock,TKM,Turkmenistan,2018,2018,5,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,TUV,Tuvalu,2018,2018,0,,
FRA,France,FTDS,Foreign-trained doctors - Stock,ARE,United Arab Emirates,2018,2018,0,,
HUN,Hungary,FTDS,Foreign-trained doctors - Stock,GBR,United Kingdom,2018,2018,2,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,VUT,Vanuatu,2018,2018,0,,
ISR,Israel,FTDS,Foreign-trained doctors - Stock,YEM,Yemen,2018,2018,2,,
LTU,Lithuania,FTDS,Foreign-trained doctors - Stock,BLR,Belarus,2018,2018,26,,
LTU,Lithuania,FTDS,Foreign-trained doctors - Stock,CAN,Canada,2018,2018,1,,
LTU,Lithuania,FTDS,Foreign-trained doctors - Stock,EST,Estonia,2018,2018,6,,
LTU,Lithuania,FTDS,Foreign-trained doctors - Stock,KAZ,Kazakhstan,2018,2018,2,,
LTU,Lithuania,FTDS,Foreign-trained doctors - Stock,LVA,Latvia,2018,2018,1,,
LTU,Lithuania,FTDS,Foreign-trained doctors - Stock,RUS,Russian Federation,2018,2018,19,,
LTU,Lithuania,FTDS,Foreign-trained doctors - Stock,UKR,Ukraine,2018,2018,10,,
LTU,Lithuania,FTDS,Foreign-trained doctors - Stock,USA,United States,2018,2018,2,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,AFG,Afghanistan,2018,2018,6,,
CZE,Czech Republic,FTDS,Foreign-trained doctors - Stock,AFG,Afghanistan,2018,2018,3,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,AFG,Afghanistan,2018,2018,1,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,ARG,Argentina,2018,2018,1,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,ARM,Armenia,2018,2018,8,,
ISR,Israel,FTDS,Foreign-trained doctors - Stock,ARM,Armenia,2018,2018,22,,
LVA,Latvia,FTDS,Foreign-trained doctors - Stock,ARM,Armenia,2018,2018,1,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,AUS,Australia,2018,2018,1,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,AUT,Austria,2018,2018,15,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,AZE,Azerbaijan,2018,2018,2,,
LVA,Latvia,FTDS,Foreign-trained doctors - Stock,AZE,Azerbaijan,2018,2018,1,,
LTU,Lithuania,FTDS,Foreign-trained doctors - Stock,AZE,Azerbaijan,2018,2018,1,,
HUN,Hungary,FTDS,Foreign-trained doctors - Stock,BLR,Belarus,2018,2018,2,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,BLR,Belarus,2018,2018,299,,
LVA,Latvia,FTDS,Foreign-trained doctors - Stock,BLR,Belarus,2018,2018,55,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,BEL,Belgium,2018,2018,3,,
SVN,Slovenia,FTDS,Foreign-trained doctors - Stock,BRA,Brazil,2018,2018,1,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,BGR,Bulgaria,2018,2018,57,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,BDI,Burundi,2018,2018,2,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,KHM,Cambodia,2018,2018,1,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,KHM,Cambodia,2018,2018,1,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,CAN,Canada,2018,2018,3,,
FRA,France,FTDS,Foreign-trained doctors - Stock,TCD,Chad,2018,2018,1,,
CZE,Czech Republic,FTDS,Foreign-trained doctors - Stock,CHL,Chile,2018,2018,1,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,CHL,Chile,2018,2018,1,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,CHN,China,2018,2018,1,,
CHL,Chile,FTDS,Foreign-trained doctors - Stock,CHN,China,2018,2018,1,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,COL,Colombia,2018,2018,1,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,CUB,Cuba,2018,2018,1,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,CZE,Czech Republic,2018,2018,55,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,DNK,Denmark,2018,2018,2,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,DMA,Dominica,2018,2018,1,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,EGY,Egypt,2018,2018,5,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,EST,Estonia,2018,2018,3,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,EST,Estonia,2018,2018,1,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,EST,Estonia,2018,2018,1,,
LVA,Latvia,FTDS,Foreign-trained doctors - Stock,EST,Estonia,2018,2018,44,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,FIN,Finland,2018,2018,1,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,MKD,The former Yugoslav Republic of Macedonia,2018,2018,2,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,FRA,France,2018,2018,8,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,GEO,Georgia,2018,2018,4,,
LVA,Latvia,FTDS,Foreign-trained doctors - Stock,GEO,Georgia,2018,2018,2,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,DEU,Germany,2018,2018,58,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,GRC,Greece,2018,2018,1,,
EST,Estonia,FTDS,Foreign-trained doctors - Stock,GRC,Greece,2018,2018,1,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,GTM,Guatemala,2018,2018,2,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,HUN,Hungary,2018,2018,20,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,IND,India,2018,2018,4,,
LVA,Latvia,FTDS,Foreign-trained doctors - Stock,IND,India,2018,2018,1,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,IDN,Indonesia,2018,2018,2,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,IRN,Iran,2018,2018,1,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,IRQ,Iraq,2018,2018,2,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,IRL,Ireland,2018,2018,1,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,ITA,Italy,2018,2018,15,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,JAM,Jamaica,2018,2018,1,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,JOR,Jordan,2018,2018,1,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,KAZ,Kazakhstan,2018,2018,1,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,KAZ,Kazakhstan,2018,2018,36,,
LVA,Latvia,FTDS,Foreign-trained doctors - Stock,KAZ,Kazakhstan,2018,2018,5,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,KGZ,Kyrgyzstan,2018,2018,3,,
CZE,Czech Republic,FTDS,Foreign-trained doctors - Stock,LVA,Latvia,2018,2018,1,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,LVA,Latvia,2018,2018,7,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,LBY,Libya,2018,2018,5,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,LTU,Lithuania,2018,2018,42,,
LVA,Latvia,FTDS,Foreign-trained doctors - Stock,LTU,Lithuania,2018,2018,7,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,MEX,Mexico,2018,2018,2,,
CZE,Czech Republic,FTDS,Foreign-trained doctors - Stock,MNG,Mongolia,2018,2018,2,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,MNG,Mongolia,2018,2018,27,,
CZE,Czech Republic,FTDS,Foreign-trained doctors - Stock,NLD,Netherlands,2018,2018,1,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,NLD,Netherlands,2018,2018,2,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,NOR,Norway,2018,2018,1,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,PAN,Panama,2018,2018,1,,
LVA,Latvia,FTDS,Foreign-trained doctors - Stock,POL,Poland,2018,2018,4,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,PRT,Portugal,2018,2018,1,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,PRT,Portugal,2018,2018,4,,
CHL,Chile,FTDS,Foreign-trained doctors - Stock,MDA,Republic of Moldova,2018,2018,2,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,ROU,Romania,2018,2018,7,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,RUS,Russian Federation,2018,2018,182,,
LVA,Latvia,FTDS,Foreign-trained doctors - Stock,RUS,Russian Federation,2018,2018,259,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,LCA,Saint Lucia,2018,2018,2,,
ISR,Israel,FTDS,Foreign-trained doctors - Stock,SAU,Saudi Arabia,2018,2018,1,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,SRB,Serbia,2018,2018,2,,
CHL,Chile,FTDS,Foreign-trained doctors - Stock,SRB,Serbia,2018,2018,1,,
LVA,Latvia,FTDS,Foreign-trained doctors - Stock,SRB,Serbia,2018,2018,1,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,SVK,Slovak Republic,2018,2018,52,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,ESP,Spain,2018,2018,6,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,LKA,Sri Lanka,2018,2018,1,,
CZE,Czech Republic,FTDS,Foreign-trained doctors - Stock,SWE,Sweden,2018,2018,1,,
HUN,Hungary,FTDS,Foreign-trained doctors - Stock,SWE,Sweden,2018,2018,1,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,SWE,Sweden,2018,2018,4,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,CHE,Switzerland,2018,2018,2,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,SYR,Syria,2018,2018,4,,
LVA,Latvia,FTDS,Foreign-trained doctors - Stock,TJK,Tajikistan,2018,2018,1,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,TUR,Turkey,2018,2018,3,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,UGA,Uganda,2018,2018,1,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,UKR,Ukraine,2018,2018,1000,,
LVA,Latvia,FTDS,Foreign-trained doctors - Stock,UKR,Ukraine,2018,2018,32,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,ARE,United Arab Emirates,2018,2018,0,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,GBR,United Kingdom,2018,2018,7,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,USA,United States,2018,2018,2,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,UZB,Uzbekistan,2018,2018,8,,
CHL,Chile,FTDS,Foreign-trained doctors - Stock,UZB,Uzbekistan,2018,2018,2,,
LVA,Latvia,FTDS,Foreign-trained doctors - Stock,UZB,Uzbekistan,2018,2018,2,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,VEN,Venezuela,2018,2018,2,,
FRA,France,FTDS,Foreign-trained doctors - Stock,ISR,Israel,2018,2018,2,,
FRA,France,FTDS,Foreign-trained doctors - Stock,TJK,Tajikistan,2018,2018,2,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,ERI,Eritrea,2018,2018,0,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,GNB,Guinea-Bissau,2018,2018,0,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,BRN,Brunei Darussalam,2018,2018,0,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,SUR,Suriname,2018,2018,0,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,NRU,Nauru,2018,2018,0,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,GNQ,Equatorial Guinea,2018,2018,0,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,GHA,Ghana,2018,2018,1,,
AUT,Austria,FTDS,Foreign-trained doctors - Stock,GEO,Georgia,2018,2018,1,,
AUT,Austria,FTDS,Foreign-trained doctors - Stock,LVA,Latvia,2018,2018,3,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,TKM,Turkmenistan,2018,2018,1,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,LUX,Luxembourg,2018,2018,0,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,PNG,Papua New Guinea,2018,2018,0,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,STP,Sao Tome and Principe,2018,2018,0,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,MDA,Republic of Moldova,2018,2018,9,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,NAM,Namibia,2018,2018,0,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,HND,Honduras,2018,2018,1,,
AUT,Austria,FTDS,Foreign-trained doctors - Stock,IRL,Ireland,2018,2018,1,,
EST,Estonia,FTDS,Foreign-trained doctors - Stock,NLD,Netherlands,2018,2018,1,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,SYC,Seychelles,2018,2018,0,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,GRD,Grenada,2018,2018,1,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,MDV,Maldives,2018,2018,0,,
EST,Estonia,FTDS,Foreign-trained doctors - Stock,SYR,Syria,2018,2018,1,,
LTU,Lithuania,FTDS,Foreign-trained doctors - Stock,MAR,Morocco,2018,2018,1,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,LSO,Lesotho,2018,2018,0,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,IDN,Indonesia,2018,2018,1,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,COM,Comoros,2018,2018,0,,
SVN,Slovenia,FTDS,Foreign-trained doctors - Stock,GBR,United Kingdom,2018,2018,1,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,MUS,Mauritius,2018,2018,1,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,SLE,Sierra Leone,2018,2018,0,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,KIR,Kiribati,2018,2018,0,,
SVN,Slovenia,FTDS,Foreign-trained doctors - Stock,USA,United States,2018,2018,1,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,PRK,Democratic People's Republic of Korea,2018,2018,3,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,SMR,San Marino,2018,2018,0,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,TKM,Turkmenistan,2018,2018,0,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,BDI,Burundi,2018,2018,1,,
LTU,Lithuania,FTDS,Foreign-trained doctors - Stock,EGY,Egypt,2018,2018,1,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,BEN,Benin,2018,2018,1,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,AND,Andorra,2018,2018,0,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,MHL,Marshall Islands,2018,2018,0,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,BWA,Botswana,2018,2018,0,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,CYP,Cyprus,2018,2018,0,,
CHL,Chile,FTDS,Foreign-trained doctors - Stock,SVK,Slovak Republic,2018,2018,1,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,BTN,Bhutan,2018,2018,0,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,MNE,Montenegro,2018,2018,0,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,CAN,Canada,2018,2018,0,,
SVN,Slovenia,FTDS,Foreign-trained doctors - Stock,AUS,Australia,2018,2018,1,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,NPL,Nepal,2018,2018,1,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,HRV,Croatia,2018,2018,1,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,TUV,Tuvalu,2018,2018,0,,
EST,Estonia,FTDS,Foreign-trained doctors - Stock,CZE,Czech Republic,2018,2018,1,,
HUN,Hungary,FTDS,Foreign-trained doctors - Stock,MNG,Mongolia,2018,2018,1,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,AGO,Angola,2018,2018,0,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,MRT,Mauritania,2018,2018,0,,
POL,Poland,FTDS,Foreign-trained doctors - Stock,PHL,Philippines,2018,2018,1,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,PLW,Palau,2018,2018,0,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,QAT,Qatar,2018,2018,1,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,TCD,Chad,2018,2018,0,,
